task_id,dataset_uv_rubric_score,dataset_uv_process_pass_at_0_8,dataset_uv_outcome_success,final_human_process_label,final_human_outcome_label,median_human_process_score_uv_blind,majority_human_outcome_vote_uv_blind,fresh_uv_rubric_score,fresh_uv_process_pass_at_0_8,fresh_uv_outcome_success
4shared--c8c1ff11,0.0,False,False,False,False,0.2333499938249588,False,0.36666666666666664,False,False
Adidas--11857213,0.6666666865348816,False,False,False,False,0.6666499972343445,False,0.6428571428571429,False,False
Adoptapet--2e4e21cf,0.800000011920929,True,False,True,False,0.8666499853134155,True,0.7,False,False
Adoptapet--75146b7b,0.10000000149011612,False,False,False,False,0.0,False,0.1,False,False
Adoptapet--84f806c7,0.5333333611488342,False,False,False,False,0.6333500146865845,False,0.6,False,False
Airbnb--a13e4231,0.7307692170143127,False,False,False,False,0.6923499703407288,False,0.6666666666666666,False,False
Akc--eb2db4b7,0.75,False,False,False,False,0.7083500027656555,False,0.8,True,False
Allrecipes--75a1b5dc,0.800000011920929,True,False,False,False,0.949999988079071,False,0.6,False,False
Amazon--7211af65,0.699999988079071,False,False,False,False,1.0,True,0.4,False,False
Americashealthrankings--d4fb78b7,0.4000000059604645,False,False,False,False,1.0,True,1.0,True,True
Amtrak--323bd85e,0.0,False,False,False,False,0.10000000149011612,False,0.0,False,False
Apartments--c073ac1b,0.75,False,False,False,False,0.3499999940395355,False,0.7307692307692307,False,False
Apartments--c0fa2c0e,1.0,True,True,True,True,1.0,True,1.0,True,True
Apple--8689af4d,1.0,True,True,True,True,1.0,True,1.0,True,True
Apple--d71be72a,0.800000011920929,True,False,True,False,1.0,True,1.0,True,True
Arxiv--71f8de18,0.699999988079071,False,False,False,False,1.0,True,0.8125,True,False
Babycenter--7680a920,0.800000011920929,True,False,False,False,0.8999999761581421,True,0.8461538461538461,True,False
Bandcamp--b962927d,0.8999999761581421,True,False,False,False,0.0,False,0.0,False,False
Bbb--05483c50,0.9166666865348816,True,False,False,False,0.9166499972343445,True,0.8,True,False
Bbb--0b838cd5,0.4000000059604645,False,False,False,False,0.20000000298023224,False,0.21428571428571427,False,False
Bbb--3ec0f613,1.0,True,True,False,False,0.75,False,0.8333333333333334,True,True
Bbb--60cbbbd5,0.3333333432674408,False,False,False,False,0.6666499972343445,False,0.2,False,False
Bbb--9af05e39,0.800000011920929,True,False,False,False,0.6000000238418579,False,1.0,True,True
Bestbuy--1df24ec8,0.10000000149011612,False,False,False,False,0.25,False,0.4117647058823529,False,False
Bestbuy--7e1047f4,0.25,False,False,False,False,0.45829999446868896,False,0.26666666666666666,False,False
Bestbuy--87f4c512,0.3928571343421936,False,False,False,False,0.1785999983549118,False,0.5,False,False
Ca--1aeca99e,0.7647058963775635,False,False,False,False,0.8823500275611877,False,0.625,False,False
Carmax--8fdec8ee,0.8999999761581421,True,False,False,False,0.8500000238418579,False,0.95,True,False
Carmax--92a3d423,1.0,True,True,True,True,1.0,True,0.9166666666666666,True,True
Cboe--01abae96,0.30000001192092896,False,False,False,False,0.550000011920929,False,0.4,False,False
Chess--a48e2f1e,0.0,False,False,False,False,0.30000001192092896,False,0.15,False,False
Cookpad--0632e496,1.0,True,True,True,True,1.0,True,0.8,True,True
Cookpad--a69d2934,0.800000011920929,True,True,False,False,0.5,False,0.5833333333333334,False,False
Coolmath4kids--1223b075,0.4000000059604645,False,False,False,False,0.5249999761581421,False,0.5,False,False
Coursera--ba2a469a,0.6000000238418579,False,False,False,False,0.699999988079071,False,0.5833333333333334,False,False
Craigslist--330cd04c,0.9166666865348816,True,False,True,True,1.0,True,0.8181818181818182,True,False
Craigslist--4c572a62,0.8500000238418579,True,False,True,True,1.0,True,1.0,True,True
Craigslist--bd1e3770,0.6000000238418579,False,False,False,False,0.6499999761581421,False,0.7,False,False
Discogs--fb7b4f78,0.699999988079071,False,False,False,False,1.0,True,1.0,True,True
Disney--157f4a79,0.5,False,False,False,False,0.550000011920929,False,0.4166666666666667,False,False
Dmv--34992feb,0.9285714030265808,True,False,False,False,0.75,False,0.875,True,True
Dmv--c8d7f2aa,0.30000001192092896,False,False,False,False,0.30000001192092896,False,0.7,False,True
Drugs--9586827a,0.699999988079071,False,False,False,False,0.8500000238418579,True,0.7,False,True
Expedia--e43cbc8a,0.5333333611488342,False,False,False,False,0.4000000059604645,False,0.4090909090909091,False,False
Extraspace--2fc51dd3,1.0,True,False,False,False,0.0,False,0.6,False,False
Fedex--a8b9edd5,1.0,True,True,False,False,0.5,False,1.0,True,True
Finance--a6f0434c,1.0,True,True,True,True,1.0,True,1.0,True,True
Gamestop--79f0bd7d,0.8500000238418579,True,False,False,False,0.75,False,0.9,True,True
Gamestop--b7258ee0,0.699999988079071,False,False,False,False,0.550000011920929,False,0.42857142857142855,False,False
Github--512fd4de,0.8666666746139526,True,False,False,False,1.0,True,0.8571428571428571,True,False
Google--0e42c3a7,0.125,False,False,False,False,0.28125,False,0.4166666666666667,False,False
Google--1fc28d91,0.800000011920929,True,True,True,True,1.0,True,1.0,True,True
Google--c1d6ea6f,0.0,False,False,False,False,0.1944500058889389,False,0.55,False,False
Google--e2466200,0.4000000059604645,False,False,False,False,0.75,False,0.5,False,False
Gov--0170ca95,0.692307710647583,False,False,False,False,0.807699978351593,False,0.9166666666666666,True,True
Gov--6ca20f1d,0.75,False,False,False,False,1.0,True,0.7,False,False
Healthgrades--070c907d,0.8999999761581421,True,False,False,False,0.75,False,0.9,True,False
Healthgrades--43a1ca25,0.625,False,False,True,True,0.9375,True,0.5555555555555556,False,False
Hiring--d8e2a81f,0.5,False,False,False,False,0.42500001192092896,False,0.6666666666666666,False,False
Justice--4f903626,0.5,False,False,False,True,0.875,False,1.0,True,True
Justice--d9a86893,1.0,True,True,True,True,1.0,True,1.0,True,True
Kaggle--1c3b747a,0.5,False,False,False,False,0.666700005531311,False,0.5294117647058824,False,False
Landwatch--255bf27c,0.20000000298023224,False,False,False,False,0.30000001192092896,False,0.23529411764705882,False,False
Landwatch--2dd41b1d,0.0,False,False,False,False,0.0,False,0.1,False,False
Landwatch--9ef1a897,0.20000000298023224,False,False,False,False,0.30000001192092896,False,0.3333333333333333,False,False
Macyswineshop--d1970c16,0.8399999737739563,True,False,True,False,0.8799999952316284,True,0.85,True,False
Mayoclinic--47b93b9e,0.0,False,False,False,False,0.30000001192092896,False,0.0,False,False
Mayoclinic--65c4030f,0.800000011920929,True,False,True,False,0.8500000238418579,False,1.0,True,True
Nba--4c186c6e,1.0,True,False,True,True,1.0,True,0.9166666666666666,True,False
Nba--627f7a18,0.0,False,False,False,False,0.20000000298023224,False,0.05,False,False
Nba--bbbc243b,0.6000000238418579,False,True,True,True,0.699999988079071,True,0.7777777777777778,False,False
New--38203be6,0.800000011920929,True,False,False,False,0.10000000149011612,False,0.4,False,False
New--4091bdd3,0.4000000059604645,False,False,False,False,0.800000011920929,False,0.6,False,False
Nfl--3f312ae3,0.699999988079071,False,False,False,False,0.6000000238418579,False,0.7,False,False
Nvidia--b4aa7315,0.20000000298023224,False,False,False,False,0.6000000238418579,False,0.0,False,False
Ohio--15be0597,0.800000011920929,True,False,False,False,0.8999999761581421,False,0.6666666666666666,False,False
Petfinder--c94551d2,0.699999988079071,False,False,False,False,0.6499999761581421,False,0.375,False,False
Petfinder--f707d765,0.800000011920929,True,False,False,False,0.30000001192092896,False,0.4,False,False
Porsche--c3a33396,0.75,False,False,False,False,0.75,False,0.8,True,False
Qatarairways--005be9dd,0.10000000149011612,False,False,False,False,0.15000000596046448,False,1.0,True,False
Recreation--246d654f,0.699999988079071,False,False,False,False,0.6499999761581421,False,0.8,True,False
Recreation--52efbab5,0.4000000059604645,False,False,False,False,0.800000011920929,True,0.8333333333333334,True,False
Recreation--73d08420,0.8999999761581421,True,False,True,False,0.7749999761581421,False,0.7692307692307693,False,True
Recreation--c09721cc,1.0,True,True,True,True,0.8500000238418579,True,1.0,True,True
Redbull--78f39733,0.3333333432674408,False,False,False,False,0.20835000276565552,False,0.5,False,False
Reddit--3c1ffc3f,0.800000011920929,True,False,False,False,0.44999998807907104,False,0.6666666666666666,False,False
Reddit--e7f6cca9,0.0833333358168602,False,False,False,False,0.16664999723434448,False,0.16666666666666666,False,False
Redfin--2d5a7f95,0.4000000059604645,False,False,False,False,0.25,False,0.25,False,False
Ryanair--cf757a77,0.800000011920929,True,False,True,False,0.9666500091552734,False,0.75,False,False
Seatgeek--5e1b8254,0.800000011920929,True,True,True,True,0.8500000238418579,True,0.7,False,True
Sec--753f372c,0.3333333432674408,False,False,False,False,0.6000000238418579,False,0.35714285714285715,False,False
Smartasset--bc2ce7f2,0.10000000149011612,False,False,False,False,0.15000000596046448,False,0.08333333333333333,False,False
Spothero--dd44c665,0.46666666865348816,False,False,False,False,0.4332999885082245,False,0.55,False,False
Stanford--27fa3ac2,0.10000000149011612,False,False,False,False,0.10000000149011612,False,0.2,False,False
Store--62c8d970,0.13333334028720856,False,False,False,False,0.03334999829530716,False,0.0,False,False
Stubhub--9d09bc94,0.6000000238418579,False,False,False,False,0.3499999940395355,False,0.5833333333333334,False,False
Student--85b284c1,0.5333333611488342,False,False,False,False,0.6666499972343445,False,0.5,False,False
Target--b64f938a,0.46666666865348816,False,False,False,False,0.5,False,0.6428571428571429,False,False
Thumbtack--2532fd40,0.4000000059604645,False,False,False,False,0.699999988079071,False,0.4,False,False
Thumbtack--c2153fc0,0.800000011920929,True,False,False,False,0.699999988079071,False,0.8,True,False
Ups--3084bc22,1.0,True,True,False,False,0.6499999761581421,False,1.0,True,True
Ups--92160852,0.800000011920929,True,False,False,False,0.699999988079071,False,0.5833333333333334,False,False
Ups--9b5dfe54,0.6000000238418579,False,False,False,False,0.550000011920929,False,0.5,False,False
Us--34ccd15a,0.9285714030265808,True,True,True,True,1.0,True,1.0,True,True
Uscis--7abdceee,0.4444444477558136,False,False,False,False,0.38885000348091125,False,0.5,False,False
Usps--ce616721,0.875,True,False,True,True,1.0,True,0.9285714285714286,True,False
